"id","legacyId","firstName","lastName","department","avgRating","avgDifficulty","numRatings","wouldTakeAgainPercent","ratings_r1","ratings_r2","ratings_r3","ratings_r4","ratings_r5","ratings_total","attendance_yes","attendance_no","attendance_neither","credit_yes","credit_no","credit_neither","tag_1_name","tag_1_count","tag_2_name","tag_2_count","tag_3_name","tag_3_count","tag_4_name","tag_4_count","tag_5_name","tag_5_count"
"VGVhY2hlci0zMTYxMDcw","3161070","Kelly","Moss","Anthropology","5","2","1","100","0","0","0","0","1","1","1","0","0","1","0","0","Amazing lectures ","1","Caring","1","Accessible outside class","1","","","",""
"VGVhY2hlci0zMTUwNDI5","3150429","Tom ","Vogl","Economics","5","3","1","100","0","0","0","0","1","1","1","0","0","1","0","0","","","","","","","","","",""
"VGVhY2hlci0yNjYwMTY5","2660169","Brent","Wilson","Psychology","4.4","2.9","16","81.25","1","0","3","0","12","16","1","0","2","16","0","0","Caring","10","Amazing lectures ","6","Respected","5","Clear grading criteria","4","Lecture heavy","4"
"VGVhY2hlci0yNjQ4NDI4","2648428","Heidi","Cook-Andersen","Biology","2.7","4.6","12","33.3333","4","3","1","1","3","12","5","0","1","12","1","0","Test heavy","7","Lecture heavy","6","Tough grader","4","Skip class? You won't pass.","4","EXTRA CREDIT","4"
"VGVhY2hlci0zMTQ1MDI1","3145025","Becca","Rose","English","4","3.7","3","66.6667","0","1","0","0","2","3","2","0","0","3","0","0","Caring","3","Get ready to read","2","Tough grader","1","Participation matters","1","Lecture heavy","1"
"VGVhY2hlci0xNjA3MTk2","1607196","Adam","Bowers","Mathematics","4.2","2.9","267","73.7805","21","16","18","49","163","267","31","0","70","230","2","38","Amazing lectures ","62","Respected","57","Lots of homework","56","Clear grading criteria","46","Tough grader","43"
"VGVhY2hlci0yNDU0NzYy","2454762","Frances","Hammock","Mathematics","2.9","3.5","167","47.9042","43","32","24","29","39","167","53","0","20","169","14","0","Lots of homework","91","Test heavy","51","Caring","41","Tough grader","40","Lecture heavy","25"
"VGVhY2hlci0zMDQ2NDQz","3046443","Mathew","Holloway","Writing","2.2","2.5","13","25","8","1","0","1","2","12","12","0","1","11","2","0","Participation matters","11","Get ready to read","4","Tough grader","3","Gives good feedback","3","Hilarious","3"
"VGVhY2hlci0yODAzNDIw","2803420","Heather","Daly","Environment","3.3","2.3","4","50","1","1","0","0","2","4","4","0","0","3","1","0","Participation matters","1","Amazing lectures ","1","Clear grading criteria","1","Lots of homework","1","Caring","1"
"VGVhY2hlci0yMDgwNjQ4","2080648","James","Cooke","Biological Sciences","3.4","4","126","51.8868","29","15","15","12","54","125","30","0","22","138","1","0","Tough grader","66","Test heavy","51","Hilarious","41","Amazing lectures ","33","Lecture heavy","16"
"VGVhY2hlci00MzMyOTE=","433291","Mayumi Mochizuki","McKee","Languages","4.9","2.3","20","100","0","0","0","2","18","20","12","0","7","11","1","9","Caring","7","Participation matters","5","Lots of homework","4","Gives good feedback","3","Respected","3"
"VGVhY2hlci0yODEyMDk1","2812095","Sarkar","Pratyush","Mathematics","2.3","4.3","3","33.3333","2","0","0","0","1","3","0","0","0","","","","","","","","","","","","",""
"VGVhY2hlci0xOTEyMTcy","1912172","Brian","Shotwell","Physics","2.6","4.1","204","-1","87","26","22","23","46","204","98","0","11","222","9","0","Test heavy","110","Tough grader","83","Lots of homework","40","Get ready to read","37","Graded by few things","25"
"VGVhY2hlci05ODA2NDE=","980641","Scott","Desposato","Political Science","3.4","3.2","91","62.2951","6","14","23","25","23","91","44","0","38","61","1","34","Graded by few things","18","Participation matters","15","Lots of homework","15","EXTRA CREDIT","12","Test heavy","11"
"VGVhY2hlci0yOTcyNzI3","2972727","Christopher","Gartland","Mathematics","2.8","4.1","76","44.7368","30","9","5","9","23","76","2","0","24","84","25","0","Test heavy","44","Tough grader","33","Graded by few things","22","Lots of homework","19","Amazing lectures ","14"
"VGVhY2hlci0xNTEzNzg2","1513786","Miles","Jones","Mathematics","3.6","3.1","55","61.9048","6","5","12","9","23","55","10","0","14","54","1","9","Lots of homework","21","Hilarious","13","Amazing lectures ","8","Clear grading criteria","7","Accessible outside class","7"
"VGVhY2hlci0yNjU2OTU5","2656959","Eddie","Chapman","Psychology","3.8","1.9","35","71.4286","6","3","1","6","19","35","10","0","2","36","0","0","Respected","11","Amazing lectures ","10","Get ready to read","9","Lots of homework","8","Clear grading criteria","7"
"VGVhY2hlci0yMDU1OTE5","2055919","Jane","Coulter","Writing","3.7","3.4","9","100","1","2","0","1","5","9","14","0","1","16","0","0","Participation matters","6","Tough grader","5","Gives good feedback","5","Lots of homework","5","Skip class? You won't pass.","3"
"VGVhY2hlci0zMDQzOTQz","3043943","Deepak","Kumar","Computer Science","5","2.7","3","100","0","0","0","0","3","3","2","0","0","2","1","0","Caring","2","Participation matters","1","Inspirational","1","Hilarious","1","Respected","1"
"VGVhY2hlci0zMDIzODI4","3023828","Reem","Khojah","Engineering","2.7","2","3","66.6667","","","","","","","3","0","0","3","0","0","Group projects","2","Tough grader","1","Clear grading criteria","1","Lots of homework","1","So many papers","1"
"VGVhY2hlci0xMDU3ODQ=","105784","John","Eggers","Mathematics","3.5","3.2","425","37.1134","73","44","48","80","180","425","47","0","255","289","13","193","Test heavy","63","Tough grader","60","Lots of homework","48","Graded by few things","34","Respected","33"
"VGVhY2hlci04NTc4ODU=","857885","Thomas","Powell","Computer Science","2.5","3.4","72","29.6875","32","13","3","5","19","72","31","0","16","89","1","4","Lots of homework","17","Group projects","10","Lecture heavy","10","Participation matters","8","Tough grader","6"
"VGVhY2hlci0yMDcwODIx","2070821","Julian ","McAuley","Computer Science","3.4","2.7","58","55.1724","16","5","5","6","26","58","1","0","6","81","4","0","Amazing lectures ","22","Clear grading criteria","20","Group projects","17","Tough grader","15","Graded by few things","14"
"VGVhY2hlci05NTI5OTM=","952993","Clarissa","Reese","Human Development","3.5","3","57","66","8","7","9","13","20","57","45","0","7","51","1","5","Lecture heavy","22","Amazing lectures ","11","Tough grader","10","Graded by few things","10","EXTRA CREDIT","9"
"VGVhY2hlci0yNzY2Mzg1","2766385","Emre","Sunu","History","5","1.7","10","100","0","0","0","0","10","10","10","0","0","10","0","0","Caring","10","Inspirational","8","Gives good feedback","6","Accessible outside class","2","Participation matters","1"
"VGVhY2hlci0yOTg2ODE5","2986819","Jennifer ","Haase","Biology","1.3","2.7","6","0","4","2","0","0","0","6","6","0","0","6","0","0","Lots of homework","5","Tough grader","3","Get ready to read","2","Participation matters","2","EXTRA CREDIT","1"
"VGVhY2hlci0xMjYyMzgx","1262381","Tara","Hutchinson","Engineering","2.5","4","2","0","1","0","0","1","0","2","4","0","1","5","0","0","Participation matters","1","Beware of pop quizzes","1","","","","","",""
"VGVhY2hlci0xMTk0NzMx","1194731","Kim","Albizati","Chemistry","4.3","3.2","224","77.0492","12","12","13","44","143","224","27","0","109","136","2","73","Amazing lectures ","39","Respected","34","Test heavy","33","Graded by few things","31","Accessible outside class","26"
"VGVhY2hlci0xNzA2NTY5","1706569","Keefe","Reuther","Biology","3.8","2.9","198","76.4286","17","18","33","46","84","198","127","0","62","168","2","22","Hilarious","46","Amazing lectures ","40","Participation matters","30","Caring","29","Tough grader","25"
"VGVhY2hlci0yNjA0MDYz","2604063","Dontarie","Stallings","Chemistry","3.9","3.3","170","72.3529","19","17","18","29","87","170","27","0","11","171","4","0","Test heavy","53","Hilarious","51","Caring","51","Clear grading criteria","46","Amazing lectures ","44"
"VGVhY2hlci0yMDk5NzQ5","2099749","Alexander","Stewart","Anthropology","3.9","2.6","110","75.9259","6","8","17","40","39","110","96","0","8","126","3","0","Get ready to read","69","Participation matters","29","Clear grading criteria","21","Lecture heavy","19","Respected","18"
"VGVhY2hlci03NzU0NjM=","775463","Ann","Woods","Art History","4.7","2.1","104","90.7692","2","1","3","8","90","104","12","0","38","76","3","28","Amazing lectures ","45","Graded by few things","27","Lecture heavy","23","Clear grading criteria","16","Respected","14"
"VGVhY2hlci0yMTc0Mzc=","217437","Timothy","Rickard","Psychology","3.4","2.9","89","54.902","8","17","13","27","24","89","10","0","39","54","3","35","Test heavy","21","Tough grader","14","Graded by few things","13","Clear grading criteria","10","Skip class? You won't pass.","8"
"VGVhY2hlci0yODA0Mjk3","2804297","Liam","Mueller","Biology","3.8","3","87","68.9655","11","10","5","25","36","87","81","0","1","87","2","0","Amazing lectures ","24","Participation matters","21","EXTRA CREDIT","16","Accessible outside class","16","Clear grading criteria","13"
"VGVhY2hlci02Njc3OQ==","66779","Grant","Kester","Fine Arts","4.7","2.2","77","93.3333","2","0","1","7","67","77","8","0","63","21","0","60","Skip class? You won't pass.","11","Amazing lectures ","10","Lecture heavy","6","Hilarious","5","Respected","4"
"VGVhY2hlci0yMjY3NzU4","2267758","Phoebe","Bronstein","English","3.5","2.4","56","67.8571","5","7","14","17","13","56","62","0","1","65","1","0","Participation matters","24","Get ready to read","20","Lots of homework","12","Caring","11","Gives good feedback","8"
"VGVhY2hlci00MDc4NDE=","407841","Pam","Reinagel","Biology","2.9","2.8","51","27.2727","6","14","11","11","9","51","3","0","42","12","0","42","Lots of homework","7","Tough grader","3","Get ready to read","3","Lecture heavy","3","Amazing lectures ","2"
"VGVhY2hlci0zMDQ2MTQ1","3046145","Ching Wei","Ho","Mathematics","4.6","2.6","41","95.122","2","0","1","5","33","41","4","0","1","41","1","0","Amazing lectures ","22","Clear grading criteria","14","Caring","12","Lots of homework","7","Accessible outside class","7"
"VGVhY2hlci03NTkxNzQ=","759174","Beth","Simon","Computer Science","4.1","2.7","35","60","1","2","5","5","22","35","0","0","40","","","","Lots of homework","2","Caring","2","Accessible outside class","2","Get ready to read","1","Participation matters","1"
"VGVhY2hlci0xNTM1Mzc5","1535379","Thomas","Bewley","Engineering","1.7","4.5","33","0","25","2","2","0","4","33","16","0","15","46","1","5","Tough grader","11","Get ready to read","10","Lecture heavy","9","Tests are tough","7","Beware of pop quizzes","7"
"VGVhY2hlci05NTIxNw==","95217","Joel","Conte","Engineering","4.2","3.8","30","100","1","1","2","7","19","30","1","0","22","8","2","20","Lots of homework","3","Tough grader","2","Caring","2","Get ready to read","1","Participation matters","1"
"VGVhY2hlci0zMDY0MjY5","3064269","Lei","Huang","Mathematics","3.2","2.9","26","50","1","9","6","3","7","26","1","0","0","28","2","0","Clear grading criteria","8","Caring","8","Graded by few things","8","Test heavy","7","Lots of homework","3"
"VGVhY2hlci0zMDQxMjkw","3041290","Guadalupe ","Garcia","Urban Planning","1.6","3.9","22","9.0909","11","8","3","0","0","22","23","0","1","24","0","0","Get ready to read","17","Lecture heavy","11","Tough grader","7","Graded by few things","7","Participation matters","3"
"VGVhY2hlci00ODk2ODA=","489680","Zeinabu","Davis","Communication","3.2","3.1","21","57.1429","2","5","5","3","6","21","10","0","17","12","0","16","Group projects","3","Caring","3","Respected","2","Tough grader","1","Would take again","1"
"VGVhY2hlci0yOTQ2ODQx","2946841","Dillon","Chapman","English","2.8","1.8","20","60","4","6","4","2","4","20","28","0","0","31","0","0","Get ready to read","13","Participation matters","12","Hilarious","5","Lecture heavy","5","Clear grading criteria","3"
"VGVhY2hlci0yNjcxMDUw","2671050","Oumelbanine","Zhiri","Cultural Studies","2.8","2.1","15","66.6667","4","1","6","2","2","15","1","0","0","15","0","0","Get ready to read","3","Clear grading criteria","3","Graded by few things","3","Tough grader","2","Lecture heavy","2"
"VGVhY2hlci0xODg2ODcy","1886872","Tricia","Gallagher-Geurtsen","Education","4.1","2.3","11","72.7273","1","1","0","3","6","11","9","0","1","11","0","0","Group projects","5","Caring","4","Amazing lectures ","3","Gives good feedback","3","Lots of homework","3"
"VGVhY2hlci0zMTE0ODQw","3114840","Michelle","Lou","Music","4.3","1.6","10","100","0","0","1","5","4","10","1","0","0","11","0","0","Participation matters","4","Amazing lectures ","3","Test heavy","3","Lots of homework","2","Graded by few things","2"
"VGVhY2hlci0zMTQ3NTU1","3147555","Achinta","Nandi","Mathematics","2.2","3.6","5","60","2","1","1","1","0","5","0","0","0","6","0","0","Test heavy","4","Graded by few things","3","Lecture heavy","2","Clear grading criteria","1","Accessible outside class","1"
"VGVhY2hlci0yOTA0NTI3","2904527","Eric","Mooshagian","Science","4.3","3.5","4","75","0","1","0","0","3","4","0","0","2","2","2","0","Amazing lectures ","2","Tough grader","1","Respected","1","Lecture heavy","1","Test heavy","1"
"VGVhY2hlci0yODA2NjMw","2806630","Christopher","Pereira","Ethnic Studies","5","2","2","100","0","0","0","0","2","2","2","0","0","2","0","0","Participation matters","2","Clear grading criteria","2","Get ready to read","1","Amazing lectures ","1","",""
"VGVhY2hlci0zMTQ2ODQ0","3146844","Zachary","Dunseth","Anthropology","5","3","1","100","0","0","0","0","1","1","1","0","0","2","0","0","Get ready to read","2","Caring","2","Amazing lectures ","1","Clear grading criteria","1","",""
"VGVhY2hlci0yNjA2MDMx","2606031","Kimberly","Schurmeier","Chemistry","3.8","3.5","241","71.3693","46","14","16","35","130","241","105","0","13","261","8","0","Amazing lectures ","84","Clear grading criteria","80","Test heavy","79","Caring","74","Tough grader","65"
"VGVhY2hlci0xMzc2NzQ4","1376748","Steve","Barrera","Cognitive Science","4.9","2.3","116","98.8095","0","0","0","11","105","116","27","0","26","99","2","12","Amazing lectures ","50","Caring","38","Respected","36","Clear grading criteria","31","EXTRA CREDIT","23"
"VGVhY2hlci0yMjk4NjYw","2298660","Giorgia","Pirino","Biological Sciences","2.5","3.5","67","34.3284","31","10","6","5","15","67","53","0","0","74","3","0","Tough grader","24","Participation matters","21","Test heavy","18","Caring","14","Graded by few things","13"
"VGVhY2hlci01Njk4NDQ=","569844","James","Hollan","Cognitive Science","2.9","3.4","42","34.375","15","5","3","5","14","42","34","0","11","40","1","10","Group projects","9","Beware of pop quizzes","9","Get ready to read","8","Participation matters","6","Tough grader","5"
"VGVhY2hlci02MzI2OTQ=","632694","Tim","Gentner","Psychology","3.5","3.2","39","71.4286","3","7","6","8","15","39","6","0","28","","","","","","","","","","","","",""
"VGVhY2hlci0zMTI1MDQ4","3125048","Srivatsa","Srinivas","Mathematics","4.6","2.6","23","-1","0","2","0","4","17","23","4","0","1","24","1","0","Hilarious","18","Amazing lectures ","11","Clear grading criteria","8","Inspirational","4","Caring","3"
"VGVhY2hlci01MzQwOTM=","534093","Sergei","Krasheninnikov","Engineering","1.8","3.6","19","0","11","3","1","3","1","19","0","0","11","10","0","11","Test heavy","6","Graded by few things","6","Tough grader","5","Get ready to read","1","Clear grading criteria","1"
"VGVhY2hlci0yMTA1MTkx","2105191","Dave","Stegman","Oceanography","2.4","3.3","10","25","3","3","2","1","1","10","3","0","1","9","1","0","Tough grader","3","Lots of homework","3","Get ready to read","2","EXTRA CREDIT","2","Group projects","2"
"VGVhY2hlci0yMTA4Nzk2","2108796","Denise","Paladini","Languages","5","1.5","4","100","0","0","0","0","3","3","","","","5","0","0","Caring","3","Participation matters","2","Inspirational","2","Hilarious","2","Amazing lectures ","1"
"VGVhY2hlci0yMjgzOTEz","2283913","Quang","Bach","Mathematics","3.6","3.6","212","66.9811","50","13","15","24","110","212","61","0","195","278","183","0","Tough grader","93","Lots of homework","89","Test heavy","77","Amazing lectures ","62","Hilarious","42"
"VGVhY2hlci0yNDgwNzIz","2480723","Melinda","Owens","Biological Sciences","3.5","3.3","151","61.5894","33","19","8","24","67","151","135","0","7","155","4","0","Test heavy","59","Lots of homework","57","Caring","50","Tough grader","43","EXTRA CREDIT","37"
"VGVhY2hlci0yNzMxODk2","2731896","Latisha","Hammond","Biological Sciences","4.1","1.8","53","84.9057","5","3","5","11","29","53","6","0","1","55","0","0","Caring","19","Amazing lectures ","11","Clear grading criteria","11","Hilarious","10","Lecture heavy","10"
"VGVhY2hlci0xNzM5MDI3","1739027","Steve","Levkoff","Economics","4.1","3.3","352","69.1176","30","21","28","49","224","352","46","0","108","305","12","28","Amazing lectures ","90","Tough grader","77","Test heavy","65","Graded by few things","49","Clear grading criteria","47"
"VGVhY2hlci0yMDU4MzA1","2058305","Sarah","Stockwell","Biological Sciences","4.3","3","172","79.1667","11","11","10","29","111","172","162","0","6","177","3","0","Get ready to read","76","Amazing lectures ","57","EXTRA CREDIT","50","Caring","44","Participation matters","43"
"VGVhY2hlci0xOTgyNjM3","1982637","Kamil","Godula","Chemistry","2.4","4.2","63","25.4237","28","11","7","3","14","63","5","0","17","","","","Test heavy","23","Tough grader","20","Lecture heavy","11","Graded by few things","10","Get ready to read","9"
"VGVhY2hlci0xNzMwMzAw","1730300","Dan","Sievenpiper","Engineering","3","4.1","27","50","9","2","2","7","7","27","10","0","8","27","4","6","Tough grader","11","Respected","9","Hilarious","5","Skip class? You won't pass.","4","Inspirational","3"
"VGVhY2hlci0yNDY5NDY=","246946","Geoff","Voelker","Computer Science","4.9","3.5","21","91.6667","0","0","1","0","20","21","4","0","9","15","0","7","Amazing lectures ","10","Group projects","6","Inspirational","5","Caring","5","Participation matters","4"
"VGVhY2hlci0yNjQ2NDU0","2646454","Ekaterina","Evdokimenko","Engineering","4.8","2.5","17","100","0","0","0","3","14","17","4","0","1","18","1","0","EXTRA CREDIT","10","Caring","8","Clear grading criteria","5","Accessible outside class","4","Group projects","3"
"VGVhY2hlci0yMDg5OTc4","2089978","Mark","Anderson","Engineering","4.2","2.3","14","81.8182","0","2","1","2","9","14","0","0","1","14","0","0","Amazing lectures ","5","Caring","5","Group projects","4","Respected","3","Tests? Not many","2"
"VGVhY2hlci0zMTUxNjY3","3151667","Patricia","Ahn","Communication","5","2","1","100","0","0","0","0","1","1","1","0","0","1","0","0","Group projects","1","Amazing lectures ","1","Caring","1","","","",""
"VGVhY2hlci0xNTYxNzA=","156170","Mary","Boyle","Cognitive Science","3.3","3.1","237","48.4375","41","36","36","47","77","237","46","0","115","168","2","86","EXTRA CREDIT","49","Get ready to read","47","Tough grader","38","Lots of homework","38","Lecture heavy","25"
"VGVhY2hlci0xMjMzNDEw","1233410","Herbert","Newhouse","Economics","3.3","3.2","111","53.75","20","19","13","23","36","111","2","0","37","87","10","28","Test heavy","39","Graded by few things","37","Tough grader","22","Lecture heavy","13","Clear grading criteria","12"
"VGVhY2hlci0zMDE2NjE4","3016618","Julia","Ortony","Chemistry","4.3","3.1","108","85.1852","2","7","12","25","62","108","15","0","0","111","0","0","EXTRA CREDIT","81","Caring","50","Test heavy","39","Amazing lectures ","24","Accessible outside class","24"
"VGVhY2hlci0yNzMyMzU5","2732359","Denise","Rava","Mathematics","2.9","3.8","96","44.7917","31","11","17","14","23","96","12","0","3","98","6","0","Lots of homework","68","Tough grader","44","Test heavy","28","Clear grading criteria","14","Lecture heavy","12"
"VGVhY2hlci0yOTYyMzg5","2962389","Raymond","Chou","Mathematics","4.9","2.8","76","97.3684","0","1","1","4","70","76","2","0","2","74","2","0","Hilarious","46","Amazing lectures ","42","Caring","29","Inspirational","24","Accessible outside class","15"
"VGVhY2hlci0xODgwNDc5","1880479","Emily","Grossman","Biology","3.9","2.9","54","71.6981","4","8","3","15","24","54","32","0","1","58","1","0","EXTRA CREDIT","20","Caring","18","Clear grading criteria","13","Lecture heavy","11","Gives good feedback","10"
"VGVhY2hlci0yOTQyMTQ1","2942145","Yinlin","Dai ","Economics","3.8","2.7","50","74","8","3","5","8","26","50","1","0","3","49","2","0","","","","","","","","","",""
"VGVhY2hlci0xOTY3OTAw","1967900","Elizabeth ","Miller","Writing","3.5","3.8","47","-1","14","2","1","2","27","46","55","0","3","","","","Gives good feedback","20","Get ready to read","17","Tough grader","14","Lots of homework","12","Clear grading criteria","10"
"VGVhY2hlci0zMTI4NTEx","3128511","Zongxin","Yu","Mathematics","4.6","3.3","23","82.6087","0","1","2","3","17","23","0","0","2","23","0","0","Caring","10","Test heavy","7","Inspirational","6","Clear grading criteria","5","Graded by few things","4"
"VGVhY2hlci0yNzUwMDUz","2750053","Tatiana","Zavodny","Literature","3.9","2.6","21","71.4286","4","2","0","1","14","21","18","0","0","20","2","0","Get ready to read","12","Caring","11","Amazing lectures ","4","Participation matters","3","Clear grading criteria","3"
"VGVhY2hlci0yMTM2MjEz","2136213","Keith","McCleary","Writing","4.8","2.4","17","100","0","0","0","3","14","17","17","0","1","17","1","0","Gives good feedback","9","Hilarious","7","Get ready to read","5","Respected","5","Participation matters","4"
"VGVhY2hlci0yNzgwODUw","2780850","Andrea","Mendoza","Literature","5","1.3","4","100","0","0","0","0","3","3","4","0","0","4","1","0","Caring","4","Get ready to read","2","Amazing lectures ","2","Accessible outside class","2","Participation matters","1"
"VGVhY2hlci0zMDQ2NzQ3","3046747","Ana Maria","Alvarez","Visual Arts","5","1","2","100","0","0","0","0","2","2","","","","2","0","0","Participation matters","2","Caring","2","Amazing lectures ","1","Respected","1","",""
"VGVhY2hlci0yNjI2MDIy","2626022","Jessica","Rusert","Biological Sciences","2.8","3.7","139","44.6043","53","18","12","20","36","139","57","0","10","149","1","0","Lots of homework","57","Tough grader","53","Lecture heavy","44","Test heavy","41","EXTRA CREDIT","21"
"VGVhY2hlci0yMDI0NTc0","2024574","Danielle","Raudenbush","Sociology","4.6","2","34","96.9697","1","0","1","7","25","34","15","0","3","35","0","0","Caring","13","Amazing lectures ","12","Graded by few things","12","Get ready to read","8","Participation matters","7"
"VGVhY2hlci0yMjU5NzY5","2259769","Wade","Lindenberger","Business","4.9","2","32","96.875","0","0","0","4","28","32","17","0","1","32","0","0","Caring","18","Amazing lectures ","10","Inspirational","9","Clear grading criteria","8","Respected","8"
"VGVhY2hlci0yMjQ0NzIy","2244722","Julio","Barreiro","Physics","2.8","3.9","32","46.875","11","5","2","6","8","32","26","0","0","35","0","0","Lots of homework","11","Tough grader","9","Caring","9","Test heavy","8","EXTRA CREDIT","7"
"VGVhY2hlci0yOTQ2Nzcy","2946772","Jason","Bartulis","English","3.4","3.7","27","62.963","6","3","2","6","10","27","28","0","0","30","0","0","Tough grader","17","Get ready to read","12","Clear grading criteria","6","Lots of homework","5","So many papers","5"
"VGVhY2hlci0yMTA3MDc4","2107078","Saiba","Varma","Anthropology","4.3","2.5","24","72.7273","1","2","3","2","16","24","10","0","1","26","1","0","Get ready to read","17","Inspirational","9","Caring","7","Tough grader","4","Graded by few things","4"
"VGVhY2hlci0yODM1NDc3","2835477","Jon","Aycock","Mathematics","3.7","2.8","23","78.2609","1","3","6","5","8","23","6","0","1","23","0","0","Caring","7","Accessible outside class","7","Hilarious","5","Amazing lectures ","4","Lecture heavy","4"
"VGVhY2hlci0xNTUwNjA4","1550608","Steve","Swanson","Computer Science","3.4","3.5","12","57.1429","1","2","2","3","4","12","2","0","7","9","0","3","Lots of homework","4","Participation matters","2","Skip class? You won't pass.","1","Group projects","1","Clear grading criteria","1"
"VGVhY2hlci0yNzYwNTQ0","2760544","Sylvia","Herbert","Engineering","2.6","2.1","10","40","6","0","0","0","4","10","4","0","0","11","0","0","Graded by few things","6","Test heavy","5","Tough grader","3","Gives good feedback","3","Lots of homework","2"
"VGVhY2hlci0yNjYzODg5","2663889","Diana","Rennison","Biology","2.6","3.8","10","30","2","3","3","1","1","10","2","0","0","11","0","0","Tough grader","4","Caring","4","Group projects","3","Lecture heavy","3","Test heavy","3"
"VGVhY2hlci0yNDA4Njcy","2408672","Henrik","Christensen","Computer Science","2.6","4","7","42.8571","3","1","0","2","1","7","1","0","0","7","0","0","Lots of homework","3","Tough grader","1","Skip class? You won't pass.","1","EXTRA CREDIT","1","Hilarious","1"
"VGVhY2hlci0zMTA3Nzg4","3107788","Zachary","Brants","Philosophy","1.2","1.8","6","0","5","1","0","0","0","6","7","0","0","7","1","0","Get ready to read","6","Beware of pop quizzes","5","So many papers","4","Tough grader","1","Participation matters","1"
